33,05
19,10
31,42
29,52
30,49
21,44
21,73
17,03
38,77
16,76
32,18
16,42
23,72
15,66
23,13
37,04
38,60
27,44
26,13
20,27
15,54
35,01
24,42
30,63
17,92
22,58
19,28
35,92
18,14
17,80
18,61
26,13
28,96
19,42
21,20
15,95
33,06
17,84
34,88
21,07
32,86
24,32
39,35
33,75
19,28
24,67
25,51
21,12
16,95
20,04
32,55
16,39
34,88
20,59
38,05
17,76
23,76
30,78
21,26
18,41
28,70
21,83
26,20
27,61
27,25
29,97
29,49
18,13
21,43
24,69
16,40
17,72
34,83
29,36
30,32
27,49
27,27
30,56
15,90
29,14
23,69
21,63
35,48
19,70
35,55
26,91
32,15
30,02
24,24
35,61
30,38
22,49
19,00
19,54
24,00
27,40
34,37
31,52
37,22
19,96
28,37
24,98
15,88
17,61
26,89
36,90
36,01
30,08
27,09
18,51
16,18
16,10
17,70
18,51
38,23
21,79
31,16
23,53
16,96
16,22
34,49
